"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label","correlation","pred_prob"
"992","ENSP00000482657","ENSP00000261479","9606.ENSP00000261479","9606.ENSP00000482657",902,"PSMA6","5687","MAP3K14","9020",0.166,0,0.0828816249867389,0.0832458303950019
"994","ENSP00000361658","ENSP00000285873","9606.ENSP00000285873","9606.ENSP00000361658",905,"GEMIN5","25929","NUP188","23511",0.064,0,0.394547168256229,0.11389373237384
"996","ENSP00000308179","ENSP00000225298","9606.ENSP00000225298","9606.ENSP00000308179",999,"UTP18","51096","WDR3","10885",1,1,0.167155443578034,0.725528049116632
"998","ENSP00000362924","ENSP00000363822","9606.ENSP00000363822","9606.ENSP00000362924",912,"AR","367","GSN","2934",0.275,0,-0.0814939949686455,0.100860843692182
"1001","ENSP00000425133","ENSP00000309572","9606.ENSP00000309572","9606.ENSP00000425133",944,"TERT","7015","SMG7","9887",0.221,0,0.0915433737406653,0.276619579833745
"1008","ENSP00000261254","ENSP00000262367","9606.ENSP00000262367","9606.ENSP00000261254",921,"CREBBP","1387","CCND2","894",0.229,0,0.0842097571194429,0.14796279787885
"1009","ENSP00000447001","ENSP00000309830","9606.ENSP00000309830","9606.ENSP00000447001",999,"RPL38","6169","RPL18","6141",0.809,1,0.822373653006385,0.815727590514623
"1012","ENSP00000312995","ENSP00000265056","9606.ENSP00000265056","9606.ENSP00000312995",947,"MCM2","4171","CLSPN","63967",0.214,0,0.805300592631741,0.426192842708688
"1018","ENSP00000462468","ENSP00000275493","9606.ENSP00000275493","9606.ENSP00000462468",976,"EGFR","1956","YES1","7525",0.381,0,0.422743302982223,0.596180556541084
"1019","ENSP00000299300","ENSP00000353048","9606.ENSP00000353048","9606.ENSP00000299300",975,"CCT8L2","150160","CCT2","10576",1,1,0.0410656236699468,0.513784020238093
"1031","ENSP00000355051","ENSP00000359531","9606.ENSP00000359531","9606.ENSP00000355051",965,"GTF2B","2959","TAF13","6884",0.734,1,0.165006796793598,0.453134340091042
"1032","ENSP00000384273","ENSP00000401802","9606.ENSP00000401802","9606.ENSP00000384273",912,"PSMC6","5706","RELA","5970",0.224,0,0.00487664550088137,0.10719411022249
"1033","ENSP00000407586","ENSP00000330382","9606.ENSP00000330382","9606.ENSP00000407586",955,"PDGFB","5155","HRAS","3265",0.618,1,-0.091842532480668,0.325011122714411
"1035","ENSP00000302886","ENSP00000262584","9606.ENSP00000262584","9606.ENSP00000302886",979,"RPL8","6132","PA2G4","5036",0.226,0,0.591726883523196,0.651301369152655
"1037","ENSP00000467141","ENSP00000443495","9606.ENSP00000443495","9606.ENSP00000467141",999,"ACTN2","88","TTN","7273",0.348,0,0.0446591066460663,0.705920795490279
"1042","ENSP00000327694","ENSP00000358582","9606.ENSP00000358582","9606.ENSP00000327694",980,"AP4B1","10717","AP2A2","161",0.649,1,-0.0598244248017508,0.536461470771879
"1046","ENSP00000261037","ENSP00000401749","9606.ENSP00000401749","9606.ENSP00000261037",913,"P4HA3","283208","COL8A1","1295",0.794,1,0.492322007015549,0.154195123796437
"1052","ENSP00000248248","ENSP00000394071","9606.ENSP00000394071","9606.ENSP00000248248",928,"GDI1","2664","MON1B","22879",0.055,0,-0.0306865805037713,0.167619028746299
"1055","ENSP00000357879","ENSP00000391211","9606.ENSP00000391211","9606.ENSP00000357879",999,"PSMC2","5701","PSMD4","5710",1,1,0.365534383652951,0.755499570335707
"1059","ENSP00000263253","ENSP00000262367","9606.ENSP00000262367","9606.ENSP00000263253",996,"CREBBP","1387","EP300","2033",0.689,1,0.67556316124967,0.780729974602564
"1067","ENSP00000264279","ENSP00000472469","9606.ENSP00000472469","9606.ENSP00000264279",983,"RPS28","6234","NOP58","51602",0.682,1,0.0440458098515444,0.581772501590561
"1073","ENSP00000262188","ENSP00000341805","9606.ENSP00000341805","9606.ENSP00000262188",956,"PHF10","55274","SMARCD3","6604",0.891,1,0.0408556202074562,0.356097660236392
