"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label"
"486","ENSP00000426909","ENSP00000309334","9606.ENSP00000309334","9606.ENSP00000426909",999,"RPL15","6138","RACK1","10399",0.211,0
"487","ENSP00000311344","ENSP00000261461","9606.ENSP00000261461","9606.ENSP00000311344",999,"PPP2R5A","5525","PPP2R1B","5519",0.084,0
"488","ENSP00000250244","ENSP00000432083","9606.ENSP00000432083","9606.ENSP00000250244",909,"HSPA8","3312","AP1M2","10053",0.27,0
"489","ENSP00000345895","ENSP00000471191","9606.ENSP00000471191","9606.ENSP00000345895",933,"NUP62","23636","NUP50","10762",0.274,0
"490","ENSP00000375777","ENSP00000258091","9606.ENSP00000258091","9606.ENSP00000375777",916,"CCT7","10574","STRN4","29888",0.152,0
"491","ENSP00000264033","ENSP00000302978","9606.ENSP00000302978","9606.ENSP00000264033",929,"SPRY3","10251","CBL","867",0.34,0
"492","ENSP00000314067","ENSP00000351314","9606.ENSP00000351314","9606.ENSP00000314067",906,"PSMB10","5699","PAK2","5062",0.15,0
"493","ENSP00000265343","ENSP00000273668","9606.ENSP00000273668","9606.ENSP00000265343",978,"EAF2","55840","AFF4","27125",0.383,0
"494","ENSP00000339917","ENSP00000481091","9606.ENSP00000481091","9606.ENSP00000339917",985,"TADA2A","6871","TAF9B","51616",0.386,0
"495","ENSP00000358831","ENSP00000373153","9606.ENSP00000373153","9606.ENSP00000358831",904,"HACD2","201562","ELOVL4","6785",0.883,1
"496","ENSP00000320949","ENSP00000482128","9606.ENSP00000482128","9606.ENSP00000320949",913,"CPEB3","22849","CNOT1","23019",0.652,1
"497","ENSP00000349430","ENSP00000417980","9606.ENSP00000417980","9606.ENSP00000349430",914,"EHMT1","79813","H2BC12","85236",0.089,0
"498","ENSP00000320566","ENSP00000262238","9606.ENSP00000262238","9606.ENSP00000320566",907,"YY1","7528","ING3","54556",0.609,1
"499","ENSP00000339090","ENSP00000387006","9606.ENSP00000387006","9606.ENSP00000339090",998,"CWC22","57703","RBMX2","51634",0.846,1
"500","ENSP00000359206","ENSP00000311816","9606.ENSP00000311816","9606.ENSP00000359206",914,"REST","5978","BTRC","8945",0.341,0
"501","ENSP00000338057","ENSP00000354580","9606.ENSP00000354580","9606.ENSP00000338057",983,"MRPL21","219927","MRPL30","51263",1,1
"502","ENSP00000262030","ENSP00000377446","9606.ENSP00000377446","9606.ENSP00000262030",953,"SUCLG1","8802","ATP5F1B","506",0.264,0
"503","ENSP00000307863","ENSP00000268482","9606.ENSP00000268482","9606.ENSP00000307863",948,"DHX38","9785","U2AF2","11338",1,1
"504","ENSP00000305682","ENSP00000418008","9606.ENSP00000418008","9606.ENSP00000305682",959,"MRPS22","56945","MRPL39","54148",1,1
"505","ENSP00000263967","ENSP00000379111","9606.ENSP00000379111","9606.ENSP00000263967",903,"IL4R","3566","PIK3CA","5290",0.339,0
"506","ENSP00000483328","ENSP00000478303","9606.ENSP00000478303","9606.ENSP00000483328",976,"POLR2E","5434","POLR2J3","548644",1,1
"507","ENSP00000296328","ENSP00000306625","9606.ENSP00000306625","9606.ENSP00000296328",911,"ASPSCR1","79058","UBXN7","26043",0.264,0
"508","ENSP00000233468","ENSP00000267812","9606.ENSP00000267812","9606.ENSP00000233468",990,"MFAP1","4236","SF3B6","51639",1,1
"509","ENSP00000378307","ENSP00000378414","9606.ENSP00000378414","9606.ENSP00000378307",998,"SMARCD1","6602","PBRM1","55193",0.853,1
"510","ENSP00000256078","ENSP00000228837","9606.ENSP00000228837","9606.ENSP00000256078",918,"FGF6","2251","KRAS","3845",0.333,0
"511","ENSP00000341885","ENSP00000485663","9606.ENSP00000485663","9606.ENSP00000341885",963,"EIF3L","51386","RPS2","6187",0.633,1
"512","ENSP00000295688","ENSP00000245157","9606.ENSP00000245157","9606.ENSP00000295688",910,"BBS2","583","CCT3","7203",0.203,0
"513","ENSP00000363787","ENSP00000356480","9606.ENSP00000356480","9606.ENSP00000363787",988,"RNF2","6045","RING1","6015",0.803,1
"514","ENSP00000261708","ENSP00000320917","9606.ENSP00000320917","9606.ENSP00000261708",938,"KRI1","65095","UTP6","55813",0.71,1
"515","ENSP00000338389","ENSP00000347277","9606.ENSP00000347277","9606.ENSP00000338389",965,"MRPL52","122704","MRPL35","51318",1,1
"516","ENSP00000245932","ENSP00000344456","9606.ENSP00000344456","9606.ENSP00000245932",953,"CTNNB1","1499","VASP","7408",0.189,0
"517","ENSP00000424328","ENSP00000276585","9606.ENSP00000276585","9606.ENSP00000424328",962,"MRPS28","28957","MRPS30","10884",1,1
"518","ENSP00000228872","ENSP00000343701","9606.ENSP00000343701","9606.ENSP00000228872",943,"KPNA1","3836","CDKN1B","1027",0.256,0
"519","ENSP00000376345","ENSP00000251968","9606.ENSP00000251968","9606.ENSP00000376345",951,"TSG101","7251","GRB2","2885",0.27,0
"520","ENSP00000408295","ENSP00000209728","9606.ENSP00000209728","9606.ENSP00000408295",980,"CDC6","990","RFC5","5985",0.325,0
"521","ENSP00000221957","ENSP00000301765","9606.ENSP00000301765","9606.ENSP00000221957",914,"VPS37C","55048","PLIN3","10226",0.223,0
"522","ENSP00000368100","ENSP00000375978","9606.ENSP00000375978","9606.ENSP00000368100",917,"XRCC5","7520","RAD50","10111",0.722,1
"523","ENSP00000361206","ENSP00000382250","9606.ENSP00000382250","9606.ENSP00000361206",996,"MRPS6","64968","MRPS18A","55168",1,1
"524","ENSP00000364016","ENSP00000355325","9606.ENSP00000355325","9606.ENSP00000364016",942,"PSMB5","5693","PSMB8","5696",0.637,1
"525","ENSP00000403852","ENSP00000259895","9606.ENSP00000259895","9606.ENSP00000403852",968,"GTF2H4","2968","POLR2F","5435",0.739,1
"526","ENSP00000256196","ENSP00000351015","9606.ENSP00000351015","9606.ENSP00000256196",956,"NF1","4763","RRAS2","22800",0.297,0
"527","ENSP00000423399","ENSP00000331849","9606.ENSP00000331849","9606.ENSP00000423399",989,"MRPL54","116541","MRPL36","64979",1,1
"528","ENSP00000395535","ENSP00000276571","9606.ENSP00000276571","9606.ENSP00000395535",940,"CRH","1392","MECP2","4204",0.132,0
"529","ENSP00000447001","ENSP00000356520","9606.ENSP00000356520","9606.ENSP00000447001",916,"DHX9","1660","RPL18","6141",0.197,0
"530","ENSP00000280326","ENSP00000268057","9606.ENSP00000268057","9606.ENSP00000280326",905,"BBS4","585","CCT5","22948",0.21,0
"531","ENSP00000291574","ENSP00000436005","9606.ENSP00000436005","9606.ENSP00000291574",995,"TRAPPC4","51399","TRAPPC10","7109",0.749,1
"532","ENSP00000371321","ENSP00000333266","9606.ENSP00000333266","9606.ENSP00000371321",902,"UBA7","7318","RFC1","5981",0.186,0
"533","ENSP00000379287","ENSP00000286827","9606.ENSP00000286827","9606.ENSP00000379287",902,"TIAM1","7074","YWHAZ","7534",0.384,0
"534","ENSP00000348020","ENSP00000364855","9606.ENSP00000364855","9606.ENSP00000348020",979,"MSH5","4439","MLH3","27030",0.796,1
"535","ENSP00000221700","ENSP00000356438","9606.ENSP00000356438","9606.ENSP00000221700",929,"PTGS2","5743","CYP4F2","8529",0.343,0
"536","ENSP00000354952","ENSP00000340944","9606.ENSP00000340944","9606.ENSP00000354952",999,"PTPN11","5781","GAB2","9846",0.371,0
"537","ENSP00000300692","ENSP00000465039","9606.ENSP00000465039","9606.ENSP00000300692",925,"MAP4K1","11184","CD3D","915",0.345,0
"538","ENSP00000329357","ENSP00000274026","9606.ENSP00000274026","9606.ENSP00000329357",923,"CCNA2","890","SP1","6667",0.266,0
"539","ENSP00000323588","ENSP00000395535","9606.ENSP00000395535","9606.ENSP00000323588",919,"MECP2","4204","SOX2","6657",0.352,0
"540","ENSP00000383118","ENSP00000337060","9606.ENSP00000337060","9606.ENSP00000383118",928,"NME1","4830","CDC42","998",0.204,0
"541","ENSP00000226207","ENSP00000216181","9606.ENSP00000216181","9606.ENSP00000226207",903,"MYH9","4627","MYH1","4619",0.122,0
"542","ENSP00000255465","ENSP00000297431","9606.ENSP00000297431","9606.ENSP00000255465",947,"ORC5","5001","CCNA1","8900",0.065,0
"543","ENSP00000351671","ENSP00000249075","9606.ENSP00000249075","9606.ENSP00000351671",931,"LIF","3976","CCL20","6364",0.33,0
"544","ENSP00000310668","ENSP00000356355","9606.ENSP00000356355","9606.ENSP00000310668",910,"NEK7","140609","NUP93","9688",0.191,0
"545","ENSP00000420076","ENSP00000216037","9606.ENSP00000216037","9606.ENSP00000420076",944,"XBP1","7494","SERP1","27230",0.274,0
"546","ENSP00000296255","ENSP00000426167","9606.ENSP00000426167","9606.ENSP00000296255",974,"OSTC","58505","RPN1","6184",1,1
"547","ENSP00000479488","ENSP00000358548","9606.ENSP00000358548","9606.ENSP00000479488",933,"NRAS","4893","PHB1","5245",0.278,0
"548","ENSP00000339191","ENSP00000360683","9606.ENSP00000360683","9606.ENSP00000339191",974,"PTPN1","5770","CAV1","857",0.385,0
"549","ENSP00000331310","ENSP00000287957","9606.ENSP00000287957","9606.ENSP00000331310",932,"GATAD1","57798","MORF4L1","10933",0.104,0
"550","ENSP00000199320","ENSP00000259239","9606.ENSP00000259239","9606.ENSP00000199320",963,"IMP4","92856","DIMT1","27292",0.802,1
"551","ENSP00000310668","ENSP00000342262","9606.ENSP00000342262","9606.ENSP00000310668",975,"NUP43","348995","NUP93","9688",1,1
"552","ENSP00000384211","ENSP00000003084","9606.ENSP00000003084","9606.ENSP00000384211",903,"CFTR","1080","PSME4","23198",0.225,0
"553","ENSP00000311344","ENSP00000005340","9606.ENSP00000005340","9606.ENSP00000311344",903,"DVL2","1856","PPP2R1B","5519",0.219,0
"554","ENSP00000233630","ENSP00000358862","9606.ENSP00000358862","9606.ENSP00000233630",913,"PCGF6","84108","PCGF1","84759",0.957,1
"555","ENSP00000261712","ENSP00000216802","9606.ENSP00000216802","9606.ENSP00000261712",932,"PSME2","5721","PSMD11","5717",0.323,0
"556","ENSP00000373674","ENSP00000371230","9606.ENSP00000371230","9606.ENSP00000373674",970,"AK3","50808","NT5M","56953",0.312,0
"557","ENSP00000226253","ENSP00000358931","9606.ENSP00000358931","9606.ENSP00000226253",950,"TKTL1","8277","ALDOC","230",0.304,0
"558","ENSP00000377192","ENSP00000234590","9606.ENSP00000234590","9606.ENSP00000377192",910,"ENO1","2023","G6PD","2539",0.29,0
"559","ENSP00000244537","ENSP00000283131","9606.ENSP00000283131","9606.ENSP00000244537",994,"SMARCA5","8467","H4C6","8361",0.337,0
"560","ENSP00000327589","ENSP00000365437","9606.ENSP00000365437","9606.ENSP00000327589",929,"GAD2","2572","GLUD2","2747",0.648,1
"561","ENSP00000327801","ENSP00000318165","9606.ENSP00000318165","9606.ENSP00000327801",941,"OS9","10956","P4HB","5034",0.346,0
"562","ENSP00000354687","ENSP00000356972","9606.ENSP00000356972","9606.ENSP00000354687",999,"NDUFS2","4720","MT-ND1","4535",0.724,1
"563","ENSP00000349467","ENSP00000353452","9606.ENSP00000353452","9606.ENSP00000349467",994,"MYLK","4638","CALM1","801",0.274,0
"564","ENSP00000237837","ENSP00000282091","9606.ENSP00000282091","9606.ENSP00000237837",920,"PTH","5741","FGF23","8074",0.305,0
"565","ENSP00000252602","ENSP00000362208","9606.ENSP00000362208","9606.ENSP00000252602",964,"MRPS15","64960","MRPL34","64981",1,1
"566","ENSP00000261366","ENSP00000437621","9606.ENSP00000437621","9606.ENSP00000261366",920,"HMGA2","8091","LMNB1","4001",0.247,0
"567","ENSP00000244537","ENSP00000348924","9606.ENSP00000348924","9606.ENSP00000244537",942,"H2BC7","8343","H4C6","8361",0.304,0
"568","ENSP00000347979","ENSP00000367545","9606.ENSP00000367545","9606.ENSP00000347979",909,"TP73","7161","FAS","355",0.374,0
"569","ENSP00000311648","ENSP00000315137","9606.ENSP00000315137","9606.ENSP00000311648",945,"SGPP2","130367","UGT8","7368",0.222,0
"570","ENSP00000331849","ENSP00000245539","9606.ENSP00000245539","9606.ENSP00000331849",935,"MRPS7","51081","MRPL54","116541",1,1
"571","ENSP00000244537","ENSP00000434024","9606.ENSP00000434024","9606.ENSP00000244537",992,"H2AX","3014","H4C6","8361",0.385,0
"572","ENSP00000481029","ENSP00000216797","9606.ENSP00000216797","9606.ENSP00000481029",917,"NFKBIA","4792","PSMC3","5702",0.263,0
"573","ENSP00000366246","ENSP00000243077","9606.ENSP00000243077","9606.ENSP00000366246",907,"LRP1","4035","GPC6","10082",0.174,0
"574","ENSP00000470972","ENSP00000268802","9606.ENSP00000268802","9606.ENSP00000470972",976,"NOB1","28987","RPS19","6223",0.395,0
"575","ENSP00000332973","ENSP00000362768","9606.ENSP00000362768","9606.ENSP00000332973",995,"RBL1","5933","SMAD3","4088",0.339,0
"576","ENSP00000395590","ENSP00000268638","9606.ENSP00000268638","9606.ENSP00000395590",932,"IRF8","3394","IFI35","3430",0.225,0
"577","ENSP00000256078","ENSP00000343552","9606.ENSP00000343552","9606.ENSP00000256078",972,"ICMT","23463","KRAS","3845",0.207,0
"578","ENSP00000382628","ENSP00000265433","9606.ENSP00000265433","9606.ENSP00000382628",997,"NBN","4683","RBBP8","5932",0.653,1
"579","ENSP00000481103","ENSP00000362768","9606.ENSP00000362768","9606.ENSP00000481103",943,"RBL1","5933","E2F8","79733",0.339,0
"580","ENSP00000366679","ENSP00000366974","9606.ENSP00000366974","9606.ENSP00000366679",942,"H4C2","8366","H2AC12","85235",0.376,0
"581","ENSP00000359497","ENSP00000370343","9606.ENSP00000370343","9606.ENSP00000359497",917,"IRF4","3662","GBP2","2634",0.302,0
"582","ENSP00000360242","ENSP00000269321","9606.ENSP00000269321","9606.ENSP00000360242",982,"ARHGDIA","396","XIAP","331",0.377,0
"583","ENSP00000371267","ENSP00000298552","9606.ENSP00000298552","9606.ENSP00000371267",949,"TSC1","7248","YWHAQ","10971",0.265,0
"584","ENSP00000220849","ENSP00000260443","9606.ENSP00000260443","9606.ENSP00000220849",943,"RSL24D1","51187","EIF3E","3646",0.23,0
"585","ENSP00000302640","ENSP00000482674","9606.ENSP00000482674","9606.ENSP00000302640",910,"H2BC3","3018","UBTF","7343",0.033,0
"586","ENSP00000243347","ENSP00000451291","9606.ENSP00000451291","9606.ENSP00000243347",958,"HNRNPC","3183","TNFAIP6","7130",0.22,0
"587","ENSP00000355493","ENSP00000360561","9606.ENSP00000360561","9606.ENSP00000355493",904,"ENTPD8","377841","ADSS2","159",0.375,0
"588","ENSP00000221138","ENSP00000225577","9606.ENSP00000225577","9606.ENSP00000221138",926,"RPS6KB1","6198","PPP2CB","5516",0.356,0
"589","ENSP00000347046","ENSP00000363092","9606.ENSP00000363092","9606.ENSP00000347046",902,"PRKG1","5592","PDE5A","8654",0.756,1
"590","ENSP00000229239","ENSP00000358635","9606.ENSP00000358635","9606.ENSP00000229239",999,"SYNCRIP","10492","GAPDH","2597",0.374,0
"591","ENSP00000324648","ENSP00000260682","9606.ENSP00000260682","9606.ENSP00000324648",912,"CYP2C9","1559","CYP2B6","1555",0.747,1
"592","ENSP00000348099","ENSP00000361636","9606.ENSP00000361636","9606.ENSP00000348099",935,"TNNC2","7125","PDLIM7","9260",0.089,0
"593","ENSP00000220592","ENSP00000231498","9606.ENSP00000231498","9606.ENSP00000220592",902,"NUP155","9631","AGO2","27161",0.107,0
"594","ENSP00000378356","ENSP00000311449","9606.ENSP00000311449","9606.ENSP00000378356",996,"RAB6A","5870","KIF20A","10112",0.191,0
"595","ENSP00000338389","ENSP00000339844","9606.ENSP00000339844","9606.ENSP00000338389",965,"MRPL43","84545","MRPL35","51318",1,1
"596","ENSP00000421842","ENSP00000229758","9606.ENSP00000229758","9606.ENSP00000421842",959,"FBXO5","26271","ANAPC13","25847",0.347,0
"597","ENSP00000480884","ENSP00000318142","9606.ENSP00000318142","9606.ENSP00000480884",963,"FUT7","2529","ST3GAL6","10402",0.278,0
"598","ENSP00000359297","ENSP00000254521","9606.ENSP00000254521","9606.ENSP00000359297",997,"HSD17B7","51478","NSDHL","50814",0.686,1
"599","ENSP00000272748","ENSP00000249442","9606.ENSP00000249442","9606.ENSP00000272748",922,"MTX2","10651","LNPK","80856",0.354,0
"600","ENSP00000318868","ENSP00000220058","9606.ENSP00000220058","9606.ENSP00000318868",942,"MTFMT","123263","SHMT1","6470",0.299,0
"601","ENSP00000425561","ENSP00000399862","9606.ENSP00000399862","9606.ENSP00000425561",901,"CNOT10","25904","EIF4E","1977",0.374,0
"602","ENSP00000335153","ENSP00000326238","9606.ENSP00000326238","9606.ENSP00000335153",902,"CAPZA3","93661","HSP90AA1","3320",0.166,0
"603","ENSP00000479106","ENSP00000349430","9606.ENSP00000349430","9606.ENSP00000479106",906,"H2BC12","85236","H4C1","8359",0.111,0
"604","ENSP00000378163","ENSP00000428223","9606.ENSP00000428223","9606.ENSP00000378163",995,"RPL26L1","51121","RPL34","6164",0.752,1
"605","ENSP00000300688","ENSP00000268379","9606.ENSP00000268379","9606.ENSP00000300688",924,"UQCRC2","7385","ATP5MG","10632",0.258,0
"606","ENSP00000345347","ENSP00000377969","9606.ENSP00000377969","9606.ENSP00000345347",908,"GTF2F1","2962","HMGB1","3146",0.255,0
"607","ENSP00000359233","ENSP00000241041","9606.ENSP00000241041","9606.ENSP00000359233",980,"PEX16","9409","ABCD3","5825",0.393,0
"608","ENSP00000363614","ENSP00000296424","9606.ENSP00000296424","9606.ENSP00000363614",958,"BDH2","56898","HMGCL","3155",0.313,0
"609","ENSP00000316029","ENSP00000357883","9606.ENSP00000357883","9606.ENSP00000316029",939,"PIP5K1A","8394","TLN1","7094",0.319,0
"610","ENSP00000428845","ENSP00000361635","9606.ENSP00000361635","9606.ENSP00000428845",929,"VDAC2","7417","VDAC3","7419",0.296,0
"611","ENSP00000345774","ENSP00000367309","9606.ENSP00000367309","9606.ENSP00000345774",931,"MAOB","4129","ALDH3A2","224",0.376,0
"612","ENSP00000345957","ENSP00000263657","9606.ENSP00000263657","9606.ENSP00000345957",983,"PNO1","56902","RPS21","6227",0.384,0
"613","ENSP00000387699","ENSP00000399797","9606.ENSP00000399797","9606.ENSP00000387699",906,"MOV10","4343","CREB1","1385",0.236,0
"614","ENSP00000316809","ENSP00000244007","9606.ENSP00000244007","9606.ENSP00000316809",934,"PLCG1","5335","PITPNA","5306",0.11,0
"615","ENSP00000355657","ENSP00000480826","9606.ENSP00000480826","9606.ENSP00000355657",979,"H3C1","8350","H3-4","8290",0.691,1
"616","ENSP00000278572","ENSP00000362688","9606.ENSP00000362688","9606.ENSP00000278572",998,"EIF3I","8668","RPS3","6188",0.315,0
"617","ENSP00000446121","ENSP00000391583","9606.ENSP00000391583","9606.ENSP00000446121",959,"PARVG","64098","LIMS1","3987",0.291,0
"618","ENSP00000296684","ENSP00000458770","9606.ENSP00000458770","9606.ENSP00000296684",999,"NDUFAB1","4706","NDUFS4","4724",0.647,1
"619","ENSP00000260010","ENSP00000363089","9606.ENSP00000363089","9606.ENSP00000260010",903,"TLR4","7099","TLR2","7097",0.731,1
"620","ENSP00000358151","ENSP00000358160","9606.ENSP00000358160","9606.ENSP00000358151",942,"H3C10","8357","H2BC21","8349",0.308,0
"621","ENSP00000331849","ENSP00000315017","9606.ENSP00000315017","9606.ENSP00000331849",967,"MRPL1","65008","MRPL54","116541",1,1
"622","ENSP00000360498","ENSP00000081029","9606.ENSP00000081029","9606.ENSP00000360498",979,"MRPS35","60488","MRPL41","64975",1,1
"623","ENSP00000356954","ENSP00000478927","9606.ENSP00000478927","9606.ENSP00000356954",983,"YAP1","10413","CCN2","1490",0.372,0
"624","ENSP00000256441","ENSP00000357320","9606.ENSP00000357320","9606.ENSP00000256441",927,"DAP3","7818","KGD4","92259",0.153,0
"625","ENSP00000266529","ENSP00000361626","9606.ENSP00000361626","9606.ENSP00000266529",916,"YBX1","4904","ZCRB1","85437",0.341,0
"626","ENSP00000368678","ENSP00000433847","9606.ENSP00000433847","9606.ENSP00000368678",905,"B3GAT1","27087","AGRN","375790",0.095,0
"627","ENSP00000388107","ENSP00000299424","9606.ENSP00000299424","9606.ENSP00000388107",955,"TAF10","6881","UBA52","7311",0.382,0
"628","ENSP00000412324","ENSP00000426653","9606.ENSP00000426653","9606.ENSP00000412324",901,"WNT8A","7478","PPP2R5C","5527",0.223,0
"629","ENSP00000475615","ENSP00000460348","9606.ENSP00000460348","9606.ENSP00000475615",998,"PRPF8","10594","CWC15","51503",0.84,1
"630","ENSP00000365473","ENSP00000441929","9606.ENSP00000441929","9606.ENSP00000365473",973,"MUC12","10071","MUC21","394263",0.265,0
"631","ENSP00000350698","ENSP00000331019","9606.ENSP00000331019","9606.ENSP00000350698",907,"RPS27L","51065","DDX47","51202",0.268,0
"632","ENSP00000370119","ENSP00000285873","9606.ENSP00000285873","9606.ENSP00000370119",963,"GEMIN5","25929","SMN2","6607",0.682,1
"633","ENSP00000481021","ENSP00000390436","9606.ENSP00000390436","9606.ENSP00000481021",910,"GLI2","2736","SEM1","7979",0.144,0
"634","ENSP00000346027","ENSP00000418868","9606.ENSP00000418868","9606.ENSP00000346027",999,"RPL29","6159","RPL21","6144",0.808,1
"635","ENSP00000346015","ENSP00000339063","9606.ENSP00000339063","9606.ENSP00000346015",976,"EEF1A1","1915","RPL27A","6157",0.601,1
"636","ENSP00000476136","ENSP00000296417","9606.ENSP00000296417","9606.ENSP00000476136",981,"H2AZ1","3015","H2BC11","8970",0.281,0
"637","ENSP00000381412","ENSP00000270458","9606.ENSP00000270458","9606.ENSP00000381412",917,"CACNG8","59283","CAMK2A","815",0.29,0
"638","ENSP00000348775","ENSP00000267842","9606.ENSP00000267842","9606.ENSP00000348775",916,"SLC27A2","11001","ACOX3","8310",0.94,1
"639","ENSP00000263270","ENSP00000323901","9606.ENSP00000323901","9606.ENSP00000263270",902,"FZD2","2535","AP2S1","1175",0.148,0
"640","ENSP00000361219","ENSP00000361180","9606.ENSP00000361180","9606.ENSP00000361219",998,"GTF3C5","9328","GTF3C4","9329",1,1
"641","ENSP00000322396","ENSP00000419004","9606.ENSP00000419004","9606.ENSP00000322396",949,"NMD3","51068","RRS1","23212",0.271,0
"642","ENSP00000436585","ENSP00000293217","9606.ENSP00000293217","9606.ENSP00000436585",933,"ACOX1","51","ECHDC1","55862",0.94,1
"643","ENSP00000266735","ENSP00000434359","9606.ENSP00000434359","9606.ENSP00000266735",982,"PUF60","22827","SNRPF","6636",0.778,1
"644","ENSP00000346088","ENSP00000418868","9606.ENSP00000418868","9606.ENSP00000346088",999,"RPL29","6159","RPL22","6146",0.808,1
"645","ENSP00000340466","ENSP00000320866","9606.ENSP00000320866","9606.ENSP00000340466",992,"CALR","811","GANAB","23193",0.338,0
"646","ENSP00000383820","ENSP00000380718","9606.ENSP00000380718","9606.ENSP00000383820",932,"CDYL","9425","MIER1","57708",0.168,0
"647","ENSP00000301764","ENSP00000436926","9606.ENSP00000436926","9606.ENSP00000301764",902,"NFRKB","4798","DDB1","1642",0.35,0
"648","ENSP00000483430","ENSP00000331103","9606.ENSP00000331103","9606.ENSP00000483430",906,"IP6K2","51447","IFI27","3429",0.233,0
"649","ENSP00000480987","ENSP00000441953","9606.ENSP00000441953","9606.ENSP00000480987",999,"ORC4","5000","MCM3","4172",1,1
"650","ENSP00000336799","ENSP00000332274","9606.ENSP00000332274","9606.ENSP00000336799",914,"PTP4A3","11156","TUBA1B","10376",0.171,0
"651","ENSP00000356530","ENSP00000333657","9606.ENSP00000333657","9606.ENSP00000356530",951,"MX2","4600","RNASEL","6041",0.353,0
"652","ENSP00000362768","ENSP00000261254","9606.ENSP00000261254","9606.ENSP00000362768",969,"CCND2","894","RBL1","5933",0.345,0
"653","ENSP00000378464","ENSP00000379602","9606.ENSP00000379602","9606.ENSP00000378464",934,"VAMP1","6843","CPLX3","594855",0.342,0
"654","ENSP00000307046","ENSP00000219070","9606.ENSP00000219070","9606.ENSP00000307046",950,"MMP2","4313","SDC2","6383",0.254,0
"655","ENSP00000346694","ENSP00000351108","9606.ENSP00000351108","9606.ENSP00000346694",934,"HNRNPAB","3182","HNRNPA2B1","3181",0.291,0
"656","ENSP00000306614","ENSP00000252622","9606.ENSP00000252622","9606.ENSP00000306614",964,"LSM7","51690","PPIH","10465",1,1
"657","ENSP00000391601","ENSP00000302620","9606.ENSP00000302620","9606.ENSP00000391601",989,"AGXT","189","PEX5","5830",0.112,0
"658","ENSP00000417706","ENSP00000438115","9606.ENSP00000438115","9606.ENSP00000417706",921,"COPS7A","50813","DCUN1D2","55208",0.902,1
"659","ENSP00000357858","ENSP00000261597","9606.ENSP00000261597","9606.ENSP00000357858",975,"NDC80","10403","BUB3","9184",0.607,1
"660","ENSP00000472998","ENSP00000293872","9606.ENSP00000293872","9606.ENSP00000472998",992,"LUC7L","55692","SNRNP70","6625",0.646,1
"661","ENSP00000215793","ENSP00000442699","9606.ENSP00000442699","9606.ENSP00000215793",969,"HTATSF1","27336","SF3A1","10291",0.752,1
"662","ENSP00000291295","ENSP00000256460","9606.ENSP00000256460","9606.ENSP00000291295",975,"CAMK1","8536","CALM3","808",0.385,0
"663","ENSP00000349428","ENSP00000400591","9606.ENSP00000400591","9606.ENSP00000349428",954,"SNRPE","6635","PTBP1","5725",0.372,0
"664","ENSP00000464342","ENSP00000464813","9606.ENSP00000464813","9606.ENSP00000464342",999,"RPL27","6155","RPL36","25873",0.851,1
"665","ENSP00000005226","ENSP00000330633","9606.ENSP00000330633","9606.ENSP00000005226",906,"CNTN2","6900","USH1C","10083",0.298,0
"666","ENSP00000216442","ENSP00000292475","9606.ENSP00000292475","9606.ENSP00000216442",926,"ATP5MF","9551","ATP6V1D","51382",0.261,0
"667","ENSP00000362820","ENSP00000457723","9606.ENSP00000457723","9606.ENSP00000362820",929,"RNPS1","10921","SRSF3","6428",0.613,1
"668","ENSP00000272418","ENSP00000295491","9606.ENSP00000295491","9606.ENSP00000272418",999,"MRPS18C","51023","MRPS5","64969",1,1
"669","ENSP00000272238","ENSP00000253063","9606.ENSP00000253063","9606.ENSP00000272238",905,"SESN2","83667","ATP6V1C2","245973",0.299,0
"670","ENSP00000416959","ENSP00000359645","9606.ENSP00000359645","9606.ENSP00000416959",991,"RBMX","27316","TRA2B","6434",0.625,1
"671","ENSP00000326031","ENSP00000323867","9606.ENSP00000323867","9606.ENSP00000326031",952,"PRKAG1","5571","PPP1CA","5499",0.366,0
"672","ENSP00000376410","ENSP00000383118","9606.ENSP00000383118","9606.ENSP00000376410",975,"CDC42","998","INF2","64423",0.237,0
"673","ENSP00000210313","ENSP00000003084","9606.ENSP00000003084","9606.ENSP00000210313",903,"CFTR","1080","PSMD5","5711",0.181,0
"674","ENSP00000332194","ENSP00000314151","9606.ENSP00000314151","9606.ENSP00000332194",908,"KLK3","354","H2AC20","8338",0.126,0
"675","ENSP00000373713","ENSP00000361021","9606.ENSP00000361021","9606.ENSP00000373713",934,"PTEN","5728","SACM1L","22908",0.121,0
"676","ENSP00000327821","ENSP00000283195","9606.ENSP00000283195","9606.ENSP00000327821",962,"RANBP2","5903","XPOT","11260",0.343,0
"677","ENSP00000333277","ENSP00000373340","9606.ENSP00000373340","9606.ENSP00000333277",950,"BRPF1","7862","H3C13","653604",0.3,0
"678","ENSP00000416097","ENSP00000256442","9606.ENSP00000256442","9606.ENSP00000416097",910,"CCNB1","891","GOLGA2","2801",0.313,0
"679","ENSP00000348442","ENSP00000357879","9606.ENSP00000357879","9606.ENSP00000348442",999,"PSMD4","5710","PSMD12","5718",1,1
"680","ENSP00000341779","ENSP00000328228","9606.ENSP00000328228","9606.ENSP00000341779",995,"CDCA2","157313","PPP1CC","5501",0.345,0
"681","ENSP00000334308","ENSP00000356224","9606.ENSP00000356224","9606.ENSP00000334308",931,"SYNE1","23345","SYNE3","161176",0.38,0
